,price,bedrooms,bathrooms,sqft,city,state,latitude,longitude,homeType,homeStatus,distance_to_waterfront,additional_info,ind_HasGarage,features,ind_HasPool,ind_GolfCourseNearby,ind_ShoppingNearby,ind_Clubhouse,ind_RecreationNearby,ind_ParkNearby,ind_IsCornerLot,ind_IsCuldesac,price/sqft
41,1390000.0,4.0,3.0,2738.0,Delta,BC,49.08376,-123.07788,SINGLE_FAMILY,FOR_SALE,6.0479224740478665,"{'garage_stalls': 2, 'features': 'Central Location, Shopping Nearby'}",2.0,"Central Location, Shopping Nearby",False,False,True,False,False,False,False,False,507.6698319941563
42,1098000.0,3.0,2.0,1632.0,Delta,BC,49.086517,-123.05481,SINGLE_FAMILY,FOR_SALE,5.015939355080041,"{'garage_stalls': 1, 'features': 'Near Golf Course, Marina Nearby, Recreation Nearby, Shopping Nearby'}",1.0,"Near Golf Course, Marina Nearby, Recreation Nearby, Shopping Nearby",False,True,True,False,True,False,False,False,672.7941176470588
43,1450000.0,4.0,3.0,2016.0,Delta,BC,49.083714,-123.047935,SINGLE_FAMILY,FOR_SALE,4.517496561995508,"{'garage_stalls': None, 'features': None}",0.0,NA,False,False,False,False,False,False,False,False,719.2460317460317
44,2999999.0,3.0,1.0,1212.0,Delta,BC,49.094128,-123.07775,SINGLE_FAMILY,FOR_SALE,6.9381183603140055,"{'garage_stalls': 1, 'features': 'Marina Nearby, Shopping Nearby'}",1.0,"Marina Nearby, Shopping Nearby",False,False,True,False,False,False,False,False,2475.246699669967
45,2850000.0,3.0,3.0,1900.0,Delta,BC,49.084194,-123.05469,SINGLE_FAMILY,FOR_SALE,4.765517714415815,"{'garage_stalls': 1, 'features': 'Recreation Nearby'}",1.0,Recreation Nearby,False,False,False,False,True,False,False,False,1500.0
46,1339000.0,3.0,2.0,1694.0,Delta,BC,49.002712,-123.085205,SINGLE_FAMILY,FOR_SALE,1.1113540193106064,"{'garage_stalls': 1, 'features': 'Cul-De-Sac'}",1.0,Cul-De-Sac,False,False,False,False,False,False,False,True,790.4368358913813
47,539000.0,1.0,1.0,765.0,Delta,BC,49.089832,-123.07249,CONDO,FOR_SALE,6.2112593090869375,"{'garage_stalls': None, 'features': 'Central Location, Near Golf Course, Marina Nearby, Recreation Nearby, Shopping Nearby'}",0.0,"Central Location, Near Golf Course, Marina Nearby, Recreation Nearby, Shopping Nearby",False,True,True,False,True,False,False,False,704.5751633986928
48,749000.0,2.0,3.0,1196.0,Delta,BC,49.03468,-123.06844,TOWNHOUSE,FOR_SALE,3.1661764263934002,"{'garage_stalls': None, 'features': 'Central Location, Near Golf Course, Recreation Nearby, Shopping Nearby'}",0.0,"Central Location, Near Golf Course, Recreation Nearby, Shopping Nearby",False,True,True,False,True,False,False,False,626.2541806020067
49,1299000.0,3.0,3.0,2087.0,Delta,BC,49.014183,-123.071075,SINGLE_FAMILY,FOR_SALE,3.035643818171097,"{'garage_stalls': 2, 'features': 'Garden'}",2.0,Garden,False,False,False,False,False,False,False,False,622.4245328222329
50,1499000.0,4.0,3.0,2705.0,Delta,BC,49.00907,-123.07935,SINGLE_FAMILY,FOR_SALE,1.9722592310836644,"{'garage_stalls': None, 'features': 'Recreation Nearby, Shopping Nearby'}",0.0,"Recreation Nearby, Shopping Nearby",False,False,True,False,True,False,False,False,554.1589648798521
51,1679000.0,5.0,3.0,2634.0,Delta,BC,49.017033,-123.07021,SINGLE_FAMILY,FOR_SALE,3.238487092555041,"{'garage_stalls': 2, 'features': 'Central Location, Cul-De-Sac, Private, Recreation Nearby, Shopping Nearby'}",2.0,"Central Location, Cul-De-Sac, Private, Recreation Nearby, Shopping Nearby",False,False,True,False,True,False,False,True,637.4335611237661
52,1200000.0,4.0,2.0,2620.0,Delta,BC,49.018948,-123.08731,SINGLE_FAMILY,FOR_SALE,1.5352318346207625,"{'garage_stalls': None, 'features': 'Central Location, Near Golf Course, Marina Nearby, Recreation Nearby, Shopping Nearby, Garden'}",0.0,"Central Location, Near Golf Course, Marina Nearby, Recreation Nearby, Shopping Nearby, Garden",False,True,True,False,True,False,False,False,458.01526717557255
53,1848000.0,4.0,3.0,2647.0,Delta,BC,49.01065,-123.07504,SINGLE_FAMILY,FOR_SALE,2.483232842766993,"{'garage_stalls': 2, 'features': None}",2.0,NA,False,False,False,False,False,False,False,False,698.1488477521723
54,3199000.0,8.0,8.0,6520.0,Delta,BC,49.031715,-123.07163,SINGLE_FAMILY,FOR_SALE,3.6118822166641404,"{'garage_stalls': 3, 'features': None}",3.0,NA,False,False,False,False,False,False,False,False,490.6441717791411
55,1498000.0,5.0,3.0,2488.0,Delta,BC,49.008717,-123.07457,SINGLE_FAMILY,FOR_SALE,2.4555923837487357,"{'garage_stalls': 2, 'features': 'Near Golf Course, Recreation Nearby, Shopping Nearby'}",2.0,"Near Golf Course, Recreation Nearby, Shopping Nearby",False,True,True,False,True,False,False,False,602.0900321543409
